,Name,Label,Origin,Shape,Height,Width,Luminosity,Brightness
18838,BA_454831.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,195.5301774691358,194.36623456790124
41953,20190526_170409_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,125.95773148148149,120.09626543209876
19259,BA_765277.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,183.38440586419753,181.14390432098764
18835,BA_452882.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,182.47506944444444,178.34591820987654
18539,BA_24200302.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.61118055555556,187.11454475308642
19333,BA_816082.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.7103549382716,188.07398148148147
19282,BA_783821.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,190.90275462962964,188.61327932098766
19123,BA_660263.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,191.07367283950617,189.55110339506172
38,BAS_0039.tiff,Basophil,Munich,"(400, 400, 3)",400,400,193.10118055555554,180.55523148148148
18537,BA_241108.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.9183024691358,184.5203163580247
18841,BA_45632.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,199.49488425925927,198.63492283950617
42077,20190531_115254_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,139.49900462962964,134.06411265432098
18735,BA_385583.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,192.5696064814815,191.1853163580247
19246,BA_753251.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.96885030864198,184.04002314814815
37607,20190527_112833_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,140.91752314814815,132.92225308641974
37579,20190526_163055_2.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,114.39752314814815,104.74088734567901
37592,20190526_165535_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,136.72945987654322,132.8777160493827
19230,BA_742244.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.7494598765432,183.7837577160494
18566,BA_264833.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.49550925925925,188.4424459876543
19411,BA_87226.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,196.74869598765432,195.05605709876542
18652,BA_326538.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.95054783950619,187.71522376543209
18669,BA_335749.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,179.3325,175.19503858024692
42080,20190531_115320_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,143.14124228395062,137.2312037037037
41989,20190527_113359_1.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,145.42202160493827,141.71295524691357
18682,BA_346352.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,189.2434799382716,186.25518518518518
65,BAS_0066.tiff,Basophil,Munich,"(400, 400, 3)",400,400,188.0216049382716,172.6647685185185
19300,BA_795313.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,186.2766975308642,184.08492283950616
19258,BA_762060.jpg,Basophil,Barcelona,"(363, 360, 3)",363,360,182.05454475308642,178.46707561728394
37588,20190526_164828_0.jpg,Basophil,Raabin,"(575, 575, 3)",575,575,135.72587962962962,131.23413580246913
